58;ВАЗ 2101;5;2016
140;Ford Focus;5;2016
181;BMW X5;5;2016
880;Лада Веста;5;2016
1153;Ford Focus;5;2016
1194;ВАЗ 2101;5;2016
1395;BMW X6;5;2016
1821;BMW X5;5;2016
1833;BMW X5;5;2016
2048;Audi A6;5;2016
2154;Лада Веста;5;2016
2328;Лада Веста;5;2016
3245;BMW X6;5;2016
3330;BMW X6;5;2016
3708;Ford Focus;5;2016
4615;Ford Focus;5;2016
4737;Лада Веста;5;2016
997;Ford Focus;5;2015
1048;Ford Focus;5;2015
1890;Лада Веста;5;2015
2296;BMW X5;5;2015
2684;Ford Focus;5;2015
2874;BMW X6;5;2015
3121;Ford Focus;5;2015
3457;Лада Веста;5;2015
3704;BMW X6;5;2015
195;Лада Веста;5;2014
223;ВАЗ 2101;5;2014
293;Ford Focus;5;2014
523;BMW X6;5;2014
610;ВАЗ 2101;5;2014
689;Лада Веста;5;2014
913;BMW X6;5;2014
953;BMW X6;5;2014
1284;Лада Веста;5;2014
1624;ВАЗ 2101;5;2014
1634;ВАЗ 2101;5;2014
2113;BMW X5;5;2014
2913;BMW X6;5;2014
3148;BMW X5;5;2014
3789;BMW X5;5;2014
3910;Audi A6;5;2014
4654;Лада Веста;5;2014
4862;ВАЗ 2101;5;2014
241;Ford Focus;5;2013
467;BMW X5;5;2013
579;BMW X5;5;2013
1181;BMW X5;5;2013
1382;BMW X5;5;2013
1555;Ford Focus;5;2013
1770;BMW X6;5;2013
1879;BMW X6;5;2013
2070;BMW X6;5;2013
2563;ВАЗ 2101;5;2013
3116;BMW X5;5;2013
3580;Audi A6;5;2013
3905;Audi A6;5;2013
4287;Audi A6;5;2013
4822;Ford Focus;5;2013
64;Audi A6;5;2012
325;BMW X6;5;2012
623;ВАЗ 2101;5;2012
660;Audi A6;5;2012
1985;Лада Веста;5;2012
2169;ВАЗ 2101;5;2012
2281;BMW X5;5;2012
2477;Ford Focus;5;2012
2497;BMW X6;5;2012
2546;Audi A6;5;2012
2551;ВАЗ 2101;5;2012
3996;Ford Focus;5;2012
4700;ВАЗ 2101;5;2012
403;ВАЗ 2101;5;2011
1317;BMW X6;5;2011
1547;Audi A6;5;2011
1662;Лада Веста;5;2011
1917;BMW X6;5;2011
1996;ВАЗ 2101;5;2011
2322;BMW X6;5;2011
3224;ВАЗ 2101;5;2011
3248;BMW X6;5;2011
3369;BMW X5;5;2011
3747;Ford Focus;5;2011
3923;Audi A6;5;2011
4044;Audi A6;5;2011
4350;BMW X5;5;2011
4505;Лада Веста;5;2011
4933;Лада Веста;5;2011
387;ВАЗ 2101;5;2010
800;BMW X6;5;2010
935;Audi A6;5;2010
1438;BMW X6;5;2010
1688;Ford Focus;5;2010
1990;Лада Веста;5;2010
2060;BMW X5;5;2010
2445;BMW X6;5;2010
2468;BMW X5;5;2010
2804;Audi A6;5;2010
3381;BMW X6;5;2010
3911;Audi A6;5;2010
4123;Audi A6;5;2010
4472;ВАЗ 2101;5;2010
4975;Лада Веста;5;2010
460;Ford Focus;5;2009
648;Лада Веста;5;2009
692;Ford Focus;5;2009
1400;BMW X6;5;2009
1402;Ford Focus;5;2009
1494;BMW X5;5;2009
1705;BMW X6;5;2009
2351;BMW X6;5;2009
3057;Лада Веста;5;2009
3083;Лада Веста;5;2009
3483;Лада Веста;5;2009
3500;ВАЗ 2101;5;2009
3640;Audi A6;5;2009
3977;Audi A6;5;2009
4254;Лада Веста;5;2009
4273;BMW X6;5;2009
4460;ВАЗ 2101;5;2009
4859;Лада Веста;5;2009
600;ВАЗ 2101;5;2008
783;BMW X6;5;2008
1108;BMW X6;5;2008
1562;BMW X6;5;2008
1595;Audi A6;5;2008
2056;ВАЗ 2101;5;2008
