25;Лада Веста;3;2020
40;BMW X5;0;2020
43;Ford Focus;4;2020
137;BMW X6;6;2020
160;Ford Focus;6;2020
222;BMW X5;7;2020
288;BMW X5;0;2020
351;Audi A6;6;2020
371;BMW X5;7;2020
406;ВАЗ 2101;1;2020
414;Ford Focus;3;2020
468;Ford Focus;4;2020
486;Лада Веста;2;2020
538;Лада Веста;2;2020
541;BMW X5;6;2020
573;ВАЗ 2101;7;2020
575;BMW X5;1;2020
604;Лада Веста;7;2020
688;BMW X6;5;2020
711;ВАЗ 2101;1;2020
721;Audi A6;3;2020
733;Лада Веста;5;2020
773;Ford Focus;3;2020
823;BMW X5;5;2020
878;Ford Focus;0;2020
926;Ford Focus;6;2020
941;Audi A6;5;2020
959;Audi A6;1;2020
1008;Audi A6;6;2020
1063;Ford Focus;6;2020
1146;Audi A6;3;2020
1151;BMW X6;5;2020
1172;Ford Focus;4;2020
1255;Audi A6;2;2020
1277;Ford Focus;6;2020
1293;Лада Веста;5;2020
1327;BMW X5;0;2020
1340;Audi A6;1;2020
1393;Ford Focus;4;2020
1397;BMW X6;5;2020
1486;Лада Веста;6;2020
1539;Лада Веста;0;2020
1550;BMW X5;5;2020
1561;Ford Focus;6;2020
1565;BMW X5;6;2020
1625;Лада Веста;5;2020
1636;Audi A6;1;2020
1664;Audi A6;1;2020
1825;BMW X5;4;2020
1828;BMW X5;7;2020
1847;Лада Веста;1;2020
1852;Лада Веста;0;2020
1916;Ford Focus;6;2020
1944;Audi A6;1;2020
1950;BMW X6;0;2020
1966;BMW X5;5;2020
1988;Ford Focus;4;2020
1994;ВАЗ 2101;7;2020
2027;Ford Focus;3;2020
2124;BMW X5;1;2020
2204;ВАЗ 2101;3;2020
2217;Audi A6;1;2020
2261;Audi A6;2;2020
2318;BMW X6;0;2020
2353;BMW X5;1;2020
2367;BMW X5;6;2020
2398;BMW X5;1;2020
2446;Audi A6;3;2020
2456;BMW X5;6;2020
2556;Лада Веста;5;2020
2587;Ford Focus;7;2020
2611;ВАЗ 2101;6;2020
2614;BMW X6;0;2020
2649;BMW X6;3;2020
2655;ВАЗ 2101;3;2020
2675;ВАЗ 2101;0;2020
